pkd_code,target,n_train,n_test,mae,rmse,r2,n_features_used,missing_features
46.7,46.7_STL_to_GS,5,2,0.008362598102304941,0.008362598406979036,-625675.723656047,8,
46.7,46.7_STC_to_GS_I,5,2,0.0049902817895371085,0.00564357065673054,-4.268184180664778,8,
46.7,46.7_LTC_to_GS_I,5,2,0.0038719409361973513,0.0046756302327015005,-0.4582193894553188,8,
46.7,46.7_NWC_to_GS,5,2,0.016468472935891182,0.016845085219527694,-21.616787763754413,8,
46.7,46.7_C_to_GS,5,2,0.008522698208798769,0.008629060393766397,-39.81606295344713,8,
46.7,46.7_INV_to_GS_I,5,2,0.006265820067599695,0.006346361939352974,-29.34503801071487,8,
46.7,46.7_REC_to_GS_I,5,2,0.010288288432225276,0.010392453414339038,-43.918009783281484,8,
46.7,46.7_REC_to_STL,5,2,0.010804668679964768,0.012186541070137707,-0.2408291585490021,8,
46.7,46.7_INV_to_STL,5,2,0.06711313181570411,0.06723412843855117,-103.93988684212803,8,
46.7,46.7_NWC_to_STL,5,2,0.1064798102310065,0.10919244384563173,-21.002648506926235,8,
46.7,46.7_CF_to_TC,5,2,0.005121802333015051,0.005370039961618605,-7.810369260048105,8,
46.7,46.7_OFE_to_GS,5,2,0.0010362889275252,0.0010366763829442176,-0.0007479146810942527,8,
46.7,46.7_OFE_to_NP,5,2,0.04266528513208995,0.050252851781287584,-0.44953336108883724,8,
46.7,46.7_PPO_to_GS_I,5,2,0.0050018849202905615,0.005002606929645094,-3463.6143633488623,8,
46.9,46.9_CF,5,2,2474.0703808593753,2497.6037067105044,-21.963949284429336,7,
46.9,46.9_EN,5,2,38.9493408203125,39.254773669700036,-41.80381393432617,7,
46.9,46.9_GS,5,2,47836.36749999999,48027.23272511713,-333.9535424448124,7,
46.9,46.9_GS_I,5,2,46575.203125,46776.8272738466,-297.25615340789415,7,
46.9,46.9_LTC,5,2,675.0039843750001,680.6146889326163,-44.26734197180279,7,
46.9,46.9_LTL,5,2,1108.4147656250002,1120.9681833360466,-38.67281081825934,7,
46.9,46.9_NP,5,2,1091.929931640625,1120.7259343923104,-6.468257871454354,7,
46.9,46.9_PEN,5,2,77.7166748046875,83.63134960479084,-6.048830986022949,7,
46.9,46.9_PNPM,5,2,46621.143125,46819.756023583854,-301.52735336489525,7,
46.9,46.9_STC,5,2,256.44000000000005,325.46367633453855,-0.6107699358670275,7,
46.9,46.9_STL,5,2,6781.870468749999,6966.059099141961,-27.52917726575514,7,
46.9,46.9_TC,5,2,46238.11296875001,46449.93215236339,-241.89149922462065,7,
46.9,46.9_EN_upadlosci,5,2,10.889019966125488,12.164163522352215,-3.8914669156536936,7,
46.9,46.9_Średni CF na firmę,5,2,1.6520574562632158,1.6687894554331724,-21.72711779988254,7,
46.9,46.9_Marża CF (CF Margin),5,2,0.0030105248092764415,0.0030185081211521066,0.27751267236091237,7,
