Poziom,Symbol PKD 2007,Nazwa grupowania PKD 2007,Symbol PKD 2025,Nazwa grupowania PKD 2025
3,25.2,"Produkcja zbiorników, cystern i pojemników metalowych",28.2,Produkcja pozostałych maszyn ogólnego przeznaczenia
3,25.3,"Produkcja wytwornic pary, z wyłączeniem kotłów do centralnego ogrzewania gorącą wodą",25.2,"Produkcja zbiorników, cystern i pojemników metalowych"
3,25.4,Produkcja broni i amunicji,25.3,Produkcja broni i amunicji
3,25.5,"Kucie, prasowanie, wytłaczanie i walcowanie metali; metalurgia proszków",25.4,Kucie i formowanie metali oraz metalurgia proszków
3,25.6,Obróbka metali i nakładanie powłok na metale; obróbka mechaniczna elementów metalowych,25.5,Obróbka metali i nakładanie powłok na metale; obróbka mechaniczna elementów metalowych
3,25.7,"Produkcja wyrobów nożowniczych, sztućców, narzędzi i wyrobów metalowych ogólnego przeznaczenia",25.6,"Produkcja wyrobów nożowniczych, sztućców, narzędzi i wyrobów metalowych ogólnego przeznaczenia"
3,25.9,Produkcja pozostałych gotowych wyrobów metalowych,25.9,Produkcja pozostałych gotowych wyrobów metalowych
2,26,"Produkcja komputerów, wyrobów elektronicznych i optycznych",26,"Produkcja komputerów, wyrobów elektronicznych i optycznych"
3,26.1,Produkcja elektronicznych elementów i obwodów drukowanych,26.1,Produkcja elektronicznych elementów i obwodów drukowanych
3,26.2,Produkcja komputerów i urządzeń peryferyjnych,26.2,Produkcja komputerów i urządzeń peryferyjnych
3,26.2,Produkcja komputerów i urządzeń peryferyjnych,26.4,Produkcja elektronicznego sprzętu powszechnego użytku
3,26.3,Produkcja sprzętu (tele)komunikacyjnego,26.3,Produkcja sprzętu (tele)komunikacyjnego
3,26.3,Produkcja sprzętu (tele)komunikacyjnego,26.5,"Produkcja instrumentów i przyrządów pomiarowych, kontrolnych, zegarów i zegarków"
3,26.4,Produkcja elektronicznego sprzętu powszechnego użytku,26.4,Produkcja elektronicznego sprzętu powszechnego użytku
3,26.5,"Produkcja instrumentów i przyrządów pomiarowych, kontrolnych i nawigacyjnych; produkcja zegarków i zegarów",26.5,"Produkcja instrumentów i przyrządów pomiarowych, kontrolnych, zegarów i zegarków"
3,26.6,"Produkcja urządzeń napromieniowujących, sprzętu elektromedycznego i elektroterapeutycznego",26.6,"Produkcja urządzeń napromieniowujących, sprzętu elektromedycznego i elektroterapeutycznego"
3,26.7,Produkcja instrumentów optycznych i sprzętu fotograficznego,26.7,"Produkcja instrumentów optycznych, niezapisanych magnetycznych i optycznych nośników informacji oraz sprzętu fotograficznego"
3,26.8,Produkcja magnetycznych i optycznych niezapisanych nośników informacji,26.7,"Produkcja instrumentów optycznych, niezapisanych magnetycznych i optycznych nośników informacji oraz sprzętu fotograficznego"
2,27,Produkcja urządzeń elektrycznych,27,Produkcja urządzeń elektrycznych
2,27,Produkcja urządzeń elektrycznych,29,"Produkcja pojazdów silnikowych, produkcja przyczep i naczep"
2,27,Produkcja urządzeń elektrycznych,32,Pozostała produkcja wyrobów
3,27.1,"Produkcja elektrycznych silników, prądnic, transformatorów, aparatury rozdzielczej i sterowniczej energii elektrycznej",27.1,"Produkcja elektrycznych silników, prądnic, transformatorów, aparatury rozdzielczej i sterowniczej energii elektrycznej"
3,27.1,"Produkcja elektrycznych silników, prądnic, transformatorów, aparatury rozdzielczej i sterowniczej energii elektrycznej",29.1,"Produkcja pojazdów silnikowych, z wyłączeniem motocykli"
3,27.2,Produkcja baterii i akumulatorów,27.2,Produkcja baterii i akumulatorów
3,27.3,Produkcja izolowanych przewodów i kabli oraz sprzętu instalacyjnego,27.3,Produkcja izolowanych przewodów i kabli oraz sprzętu instalacyjnego
3,27.4,Produkcja elektrycznego sprzętu oświetleniowego,27.4,Produkcja sprzętu oświetleniowego
3,27.5,Produkcja sprzętu gospodarstwa domowego,27.5,Produkcja sprzętu gospodarstwa domowego
3,27.9,Produkcja pozostałego sprzętu elektrycznego,27.1,"Produkcja elektrycznych silników, prądnic, transformatorów, aparatury rozdzielczej i sterowniczej energii elektrycznej"
3,27.9,Produkcja pozostałego sprzętu elektrycznego,27.9,Produkcja pozostałego sprzętu elektrycznego
3,27.9,Produkcja pozostałego sprzętu elektrycznego,29.3,Produkcja części i akcesoriów do pojazdów silnikowych
3,27.9,Produkcja pozostałego sprzętu elektrycznego,32.9,"Produkcja wyrobów, gdzie indziej niesklasyfikowana"
